"","file","COX6C","STAT3_p1","STAT3_p2","TGFBI","COX5A","LGALS8_p4","LGALS8_p2","LGALS8_p3","IL10_p1","IL10_p2","TGFB2","PTGS2_p1","PTGS2_p2"
"49","MB-AD-0119",1,0,0,0,0,0,0,0,0,0,0,0,0
"57","MB-AD-0127",0,0,0,0,0,1,1,1,0,0,0,0,0
"112","MB-AD-0191",0,0,0,0,0,0,0,0,0,0,0,0,0
"135","MB-AD-0221",0,0,0,0,0,0,0,0,0,0,0,0,0
"142","MB-AD-0228",0,0,0,0,0,0,0,0,0,0,0,0,0
"209","MB-AD-0312",0,0,0,0,0,0,0,0,1,1,1,1,1
"269","MB-AD-0385",1,0,0,0,0,0,0,0,0,0,0,0,0
"341","MB-AD-0470",0,0,0,0,0,0,0,0,0,0,0,0,0
"357","MB-AD-0489",0,0,0,0,0,0,0,0,0,0,0,0,0
"544","MB-GU-1029",0,-1,-1,0,0,0,0,0,0,0,0,0,0
"557","MB-GU-1043",0,0,0,0,0,0,0,0,0,0,0,0,0
"649","MB-GU-1152",1,0,0,0,0,1,1,1,1,1,0,1,1
"652","MB-GU-1155",0,0,0,0,0,0,0,0,0,0,1,1,1
"693","MB-GU-1219",0,0,0,0,0,1,1,1,1,1,1,1,1
"715","MB-GU-1252",1,0,0,0,0,0,0,0,0,0,0,0,0
"884","MB-NT-3001",1,0,0,0,0,1,1,1,0,0,0,0,0
"902","MB-NT-3046",1,0,0,-1,0,0,0,0,1,1,0,0,0
"936","MB-NT-3379",0,-1,-1,0,0,1,1,1,1,1,1,1,1
"974","MB-NT-3528",1,0,0,0,0,0,0,0,0,0,0,0,0
